availability,description,image,name,price,price_currency,sku,url
InStock,"Playera manga corta color verde cactus en tejido jersey, cuello redondo con rib, drop shoulder, estampado al frente Minecraft.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwcbd2f28f/images/Abril 2024/3090515_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwb615f053/images/Abril 2024/3090515_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw92079910/images/Abril 2024/3090515_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw0029a5f6/images/Abril 2024/3090515_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw0b046f19/images/Abril 2024/3090515_E.jpg""]",Playera Verde Manga Corta Minecraft,199.0,MXN,3090515,https://www.cyamoda.com/playera-verde-manga-corta-minecraft/3090515.html
InStock,"Short color azul claro, con efecto de lavado, tiro medio, elástico en cintura, cuenta con bolsillos traseros, con dobladillo fijo en bastilla, además de tener proceso biowash el cual es más amigable con el medio ambiente. Esta es una prenda ideal para el uso casual.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw0a84a507/images/Enero 2024/3077910_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw827e4d52/images/Enero 2024/3077910_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw4f991ffb/images/Enero 2024/3077910_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwb4185514/images/Enero 2024/3077910_D.jpg""]",Short Pull On De Mezclilla,199.0,MXN,3077910,https://www.cyamoda.com/short-pull-on-de-mezclilla/3077910.html
InStock,"Pantalón color azul, fit slim, pull on, bolsas laterales y bolsa posterior, cerrado con un botón y zipper, elástico por la parte de atras, tiro medio.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwb353f8d3/images/Abril 2024/3084246_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw78aaab40/images/Abril 2024/3084246_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf17f96ee/images/Abril 2024/3084246_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw0fd842b7/images/Abril 2024/3084246_D.jpg""]",Pantalón Fit Slim,499.0,MXN,3084246,https://www.cyamoda.com/pantalon-fit-slim/3084246.html
InStock,"Camisa crop, manga corta con roll up, color negro, cuello americano, cierre frontal de botones, estampado gráfico.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwd7a232f6/images/Abril 2024/3079265_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw425a1d60/images/Abril 2024/3079265_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw9e74025a/images/Abril 2024/3079265_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw23044e88/images/Abril 2024/3079265_D.jpg""]",Camisa Crop Manga Corta,299.0,MXN,3079265,https://www.cyamoda.com/camisa-crop-manga-corta/3079265.html
InStock,"Jeans fit wide leg color negro, tiro alto, pierna holgada y bajo semiajustado, efecto de lavado, cierre cubierto por tapeta, botón metalizado, bolsillos delanteros y traseros. Cuenta con proceso biowash el cual es más amigable con el medio ambiente.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf116c91f/images/Abril 2024/3082999_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw13937c25/images/Abril 2024/3082999_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw24b4af15/images/Abril 2024/3082999_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw0bfa9479/images/Abril 2024/3082999_D.jpg""]",Jeans Wide Leg Negro,499.0,MXN,3082999,https://www.cyamoda.com/jeans-wide-leg-negro/3082999.html
InStock,"Jeans fit skinny, color azul acero, tiro alto, largo regular, con efecto de lavado, bolsillos delanteros y traseros, cierre frontal con cremallera y botón metalizado, su tela con stretch para mayor comodidad, además de proceso biowash el cual es más amigable con el medio ambiente, esta es una prenda ideal para el uso casual.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw94dbaae5/images/Enero 2024/3077845_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw443e5a41/images/Enero 2024/3077845_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw177eb26b/images/Enero 2024/3077845_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw1a41e291/images/Enero 2024/3077845_D.jpg""]",Skinny Jeans,399.0,MXN,3077845,https://www.cyamoda.com/skinny-jeans/3077845.html
InStock,"Vestido corto, tejido de rib, color gris oscuro, cuello redondo, color café, sin mangas. Medidas de Modelo: 1.77 cm de altura Top: EECH Bottom: 0 ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw44f1bac8/images/Abril 2024/3085354_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw83ec6f8c/images/Abril 2024/3085354_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw1578475f/images/Abril 2024/3085354_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw76f26c84/images/Abril 2024/3085354_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw2c145813/images/Abril 2024/3085354_E.jpg""]",Vestido Corto Ajustado,299.0,MXN,3085354,https://www.cyamoda.com/vestido-corto-ajustado/3085354.html
InStock,Cinturón con hebilla reversible en color negro.,"[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf9389db2/images/Enero 2024/3075145_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw500aa722/images/Enero 2024/3075145_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw3aaf2f6f/images/Enero 2024/3075145_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw1c0b5d46/images/Enero 2024/3075145_D.jpg""]",Cinturón Hebilla Reversible,199.0,MXN,3075145,https://www.cyamoda.com/cinturon-hebilla-reversible/3075145.html
InStock,"Leggings con bolsillos al bies, elástico en cintura, color negro, silueta ajustada, cierre ocultos.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw2a40117b/images/Febrero 2024/3083962_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw978b8724/images/Febrero 2024/3083962_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf6740817/images/Febrero 2024/3083962_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwa3510b53/images/Febrero 2024/3083962_D.jpg""]",Leggings Bolsillos,374.25,MXN,3083962,https://www.cyamoda.com/leggings-bolsillos/3083962.html
InStock,"Playera color blanco, manga corta, cuello redondo, de tela french terry, cuello, mangas y bajo acanalado, fit relajado. Hecha con algodón más sustentable. Medidas de Modelo: 1.80 cm de altura Top: M Bottom: 30 ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw71ab87e7/images/Abril 2024/3084005_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwcf307b6e/images/Abril 2024/3084005_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw70ce0018/images/Abril 2024/3084005_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw140e773d/images/Abril 2024/3084005_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw327a7e84/images/Abril 2024/3084005_E.jpg""]",Playera Relaxed Blanca,299.0,MXN,3084005,https://www.cyamoda.com/playera-relaxed-blanca/3084005.html
